COMUNA,Nombre Comuna,Barrio,Nombre del sitio,Dirección,Punto
8,VILLA HERMOSA,SAN ANTONIO,Ecoparque Campo Santo,Cra 17 con Cll 56D,
60,CORREGIMIENTO SAN CRISTOBAL,SAN CRISTOBAL,Parque Principal de San Cristóbal,Calle 62 con Carrera 131,
60,CORREGIMIENTO SAN CRISTOBAL,SAN CRISTOBAL,Exteriores Ludoteca Casa San Martín,Calle 64B # 106-60,
11,LAURELES,EL VELÓDROMO,Parque Pinocho,Carrera 77 con Calle 45E,"(6.253581, -75.59504)"
14,EL POBLADO,MANILA,Metro de Medellín – Plazoleta estación Poblado,Carrera 48 con Calle 10,"(6.213677, -75.576195)"
9,BUENOS AIRES,ALEJANDRO ECHAVARRÍA,Unidad Deportiva Miraflores,Carrera 26A # 49A-110,
7,ROBLEDO,ROBLEDO,Parque de Robledo,Calle 65 con carrera 86,
11,LAURELES,LAURELES ESTADIO,"Velódromo Martín ""Cochise"" Rodríguez",carrera 77a  calle 47d,"(6.257084, -75.59409)"
11,LAURELES,SAN JOAQUÍN,Parque San Joaquin,Circular 5 con Carrera 68,"(6.246136, -75.586563)"
16,BELEN,ALTAVISTA,Desarrollo integral Belén Zafra,Carrera 83B con Calle 21,
8,VILLA HERMOSA,VILLATINA,Desarrollo integral las estancias,Calle 52A # 10A-120,
5,CASTILLA,GIRARDOT,Unidad Deportiva José René Higuita,Carrera 69 # 101-25,
9,BUENOS AIRES,LA MILAGROSA,Parque la Milagrosa,Carrera 29 # 41-14,
50,CORREGIMIENTO PALMITAS,SAN SEBASTIAN DE PALMITAS,Parque San Sebastián de Palmitas,Parque principal,
15,GUAYABAL,GUAYABAL,Unidad Deportiva Maria Luisa Calle,Carrera 70 # 1-180,
4,ARANJUEZ,ARANJUEZ,Parque Norte,Carrera 53 # 76-115,
11,LAURELES,BOLIVARIANA,Telecentro San Joaquín,Calle 42 # 71-37,"(6.247917, -75.590804)"
16,BELEN,BELEN,Aeroparque Juan Pablo II,Carrera 70 #16-04,
3,MANRIQUE,LORETO,Unidad Deportiva El Raizal,Cra 31A y 32 con Cll 77 y 78A,
90,SANTA ELENA,SANTA ELENA,Parque Santa Elena,Parque principal,
4,ARANJUEZ,PARQUE NORTE,Parque Explora,Carrera 53 # 73-1 a 73-99,
16,BELEN,EL RINCÓN,Desarrollo Integral Belén Rincón,Carrera 76A # 1C-05,
15,GUAYABAL,GUAYABAL,Coliseo Carlos Mauro Hoyos,Carrera 68B con Calle 26B,
16,BELEN,FÁTIMA,Pista de Bicicross Antonio Roldán Betancur,Carrera 66b con calle 30a,
4,ARANJUEZ,PARQUE NORTE,Jardín Botánico,Carrera 52 # 73-1,
16,BELEN,FÁTIMA,Bolera Unidad Deportiva Andres Escobar,Carrera 66b con calle 30a,
90,SANTA ELENA,SANTA ELENA,Parque Arví - Centro Ambiental y Cultural Parque Arví,Vereda el  Mazo,
90,SANTA ELENA,SANTA ELENA,Parque Arví - Estación del Metrocable,Estacion de Metrocable arriba el tambo,
4,ARANJUEZ,SEVILLA,Parque de los Deseos,Calle 71 # 52-30,
16,BELEN,BELEN,Cerro Nutibara (Pueblito Paisa),Cerro Nutibara (Pueblito Paisa),
3,MANRIQUE,LAS GRANJAS,Unidad Deportiva San Blas,Cll 86BB # 36AA-45,
16,BELEN,FÁTIMA,Unidad Deportiva de Belén Andrés Escobar,Carrera 66b con calle 30a,
15,GUAYABAL,SANTA FE,Estación Industriales - Plazoleta Metroplus,Carrera 52 con Calle 30,
4,ARANJUEZ,CAMPO VALDES,Parque Principal Campo Valdés - El Calvario,Calle 77 con 48A,
16,BELEN,BELEN,Parque Belén,Carrera 76 con Calle 30A,
70,CORREGIMIENTO ALTAVISTA,CORREGIMIENTO ALTAVISTA,Parque Principal de Altavista,Parque principal,
